customer_id,customer_name,recency_days,frequency,monetary,cluster,segment
94,Ananya Gupta,134,5,47685.8,2,High-Value Loyal Customers
95,Nikhil Sharma,465,2,20018.22,3,Inactive Low-Value Customers
96,Karan Gupta,207,4,63611.09,1,Cooling Customers
97,Meera Singh,70,4,19785.66,1,Cooling Customers
98,Meera Iyer,197,3,22536.17,1,Cooling Customers
99,Isha Joshi,4,4,46435.49,0,Recent Customers
100,Nikhil Kumar,73,10,89325.8,2,High-Value Loyal Customers
101,Meera Sharma,36,4,29154.22,0,Recent Customers
102,Arjun Gupta,263,2,8107.78,3,Inactive Low-Value Customers
103,Amit Joshi,393,3,31327.22,1,Cooling Customers
104,Rahul Singh,217,5,14855.44,1,Cooling Customers
105,Aditya Kumar,199,4,61113.53,1,Cooling Customers
106,Aditya Verma,114,4,33402.2,1,Cooling Customers
107,Vikram Shah,57,4,31406.26,1,Cooling Customers
108,Neha Patel,64,3,11309.75,1,Cooling Customers
109,Karan Sharma,393,2,8371.85,3,Inactive Low-Value Customers
110,Priya Shah,178,4,42730.92,1,Cooling Customers
111,Aditya Iyer,41,4,21963.05,0,Recent Customers
112,Priya Kumar,192,4,32459.56,1,Cooling Customers
113,Aditya Verma,128,6,43145.88,2,High-Value Loyal Customers
114,Rohan Singh,37,7,51202.22,2,High-Value Loyal Customers
115,Karan Joshi,106,5,55862.88,2,High-Value Loyal Customers
116,Rohan Iyer,149,5,38989.84,1,Cooling Customers
117,Rahul Kumar,68,2,24106.38,1,Cooling Customers
118,Meera Mehta,239,5,29515.69,1,Cooling Customers
119,Isha Joshi,72,5,37278.67,2,High-Value Loyal Customers
120,Nikhil Shah,143,4,33631.12,1,Cooling Customers
121,Neha Mehta,2,8,94993.58,0,Recent Customers
122,Aditya Singh,161,7,69294.16,2,High-Value Loyal Customers
123,Arjun Sharma,216,2,5071.77,3,Inactive Low-Value Customers
124,Aditya Kumar,259,4,18853.15,1,Cooling Customers
125,Ananya Joshi,101,5,24852.71,1,Cooling Customers
126,Aditya Gupta,263,6,41222.82,2,High-Value Loyal Customers
127,Meera Iyer,6,2,21127.69,0,Recent Customers
128,Arjun Kumar,68,5,77407.63,2,High-Value Loyal Customers
129,Aditya Patel,179,5,25459.62,1,Cooling Customers
130,Rahul Shah,133,4,11383.17,1,Cooling Customers
131,Neha Joshi,165,5,30615.02,1,Cooling Customers
132,Meera Patel,142,8,54860.43,2,High-Value Loyal Customers
133,Nikhil Iyer,28,6,51732.8,2,High-Value Loyal Customers
134,Amit Shah,30,6,94520.07,2,High-Value Loyal Customers
135,Amit Iyer,642,2,25744.84,1,Cooling Customers
136,Arjun Kumar,237,10,79293.16,2,High-Value Loyal Customers
137,Amit Gupta,185,2,7049.64,3,Inactive Low-Value Customers
138,Sneha Gupta,123,6,48242.24,2,High-Value Loyal Customers
139,Arjun Joshi,186,1,32232.24,3,Inactive Low-Value Customers
140,Amit Patel,111,1,30498.22,3,Inactive Low-Value Customers
141,Rohan Patel,160,4,25770.67,1,Cooling Customers
142,Ananya Gupta,201,4,23087.44,1,Cooling Customers
143,Pooja Patel,316,1,14174.1,3,Inactive Low-Value Customers
144,Nikhil Verma,95,2,15244.53,3,Inactive Low-Value Customers
145,Sneha Kumar,71,9,80309.77,2,High-Value Loyal Customers
146,Karan Verma,530,2,7882.25,3,Inactive Low-Value Customers
147,Rohan Verma,47,6,80232.2,2,High-Value Loyal Customers
148,Meera Verma,33,7,58787.33,2,High-Value Loyal Customers
149,Sneha Verma,251,3,50560.71,1,Cooling Customers
150,Meera Iyer,261,2,25694.41,1,Cooling Customers
151,Neha Iyer,92,5,45111.74,2,High-Value Loyal Customers
152,Karan Joshi,135,4,40827.88,1,Cooling Customers
153,Karan Kumar,73,7,45931.01,2,High-Value Loyal Customers
154,Isha Patel,66,6,40407.79,2,High-Value Loyal Customers
155,Amit Iyer,357,2,20938.64,1,Cooling Customers
156,Ananya Sharma,37,6,32254.69,0,Recent Customers
157,Isha Gupta,28,6,64000.38,2,High-Value Loyal Customers
158,Nikhil Mehta,92,3,15395.72,1,Cooling Customers
159,Karan Joshi,287,4,12305.11,1,Cooling Customers
160,Meera Patel,156,5,17576.62,1,Cooling Customers
161,Isha Shah,284,5,27187.68,1,Cooling Customers
162,Isha Sharma,285,7,89699.42,2,High-Value Loyal Customers
163,Isha Joshi,1,7,101900.48,0,Recent Customers
164,Aditya Sharma,54,2,18434.08,1,Cooling Customers
165,Pooja Sharma,7,8,66261.18,0,Recent Customers
166,Pooja Gupta,521,2,33621.15,1,Cooling Customers
167,Karan Shah,180,4,38540.15,1,Cooling Customers
168,Meera Joshi,227,7,49817.21,2,High-Value Loyal Customers
169,Amit Gupta,11,6,44342.59,0,Recent Customers
170,Amit Verma,375,2,30516.03,1,Cooling Customers
171,Ananya Verma,74,6,71541.63,2,High-Value Loyal Customers
172,Neha Mehta,198,4,43945.18,1,Cooling Customers
173,Vikram Kumar,179,4,26408.2,1,Cooling Customers
174,Sneha Gupta,23,6,34940.14,0,Recent Customers
175,Vikram Mehta,14,3,22936.53,0,Recent Customers
176,Ananya Kumar,88,4,59850.99,2,High-Value Loyal Customers
177,Sneha Mehta,262,6,43124.63,2,High-Value Loyal Customers
178,Isha Patel,498,3,26315.18,1,Cooling Customers
179,Neha Shah,5,4,43296.06,0,Recent Customers
180,Pooja Iyer,251,2,12316.07,3,Inactive Low-Value Customers
181,Rohan Verma,23,9,50006.49,2,High-Value Loyal Customers
182,Aditya Kumar,14,9,81947.93,2,High-Value Loyal Customers
183,Meera Verma,380,4,21830.7,1,Cooling Customers
184,Karan Iyer,52,3,33559.59,1,Cooling Customers
185,Pooja Verma,13,6,44021.66,0,Recent Customers
186,Isha Joshi,20,6,62359.74,0,Recent Customers
187,Sneha Iyer,331,3,21833.45,1,Cooling Customers
188,Sneha Patel,6,6,58852.27,0,Recent Customers
189,Sneha Gupta,111,1,7258.46,3,Inactive Low-Value Customers
190,Neha Kumar,179,5,61179.95,2,High-Value Loyal Customers
191,Priya Singh,317,5,32804.52,1,Cooling Customers
192,Nikhil Joshi,322,3,17394.19,1,Cooling Customers
193,Rahul Joshi,194,5,77008.56,2,High-Value Loyal Customers
194,Sneha Shah,295,3,24217.34,1,Cooling Customers
195,Priya Sharma,82,3,30209.76,1,Cooling Customers
196,Rohan Kumar,377,5,43373.39,1,Cooling Customers
197,Nikhil Verma,184,4,49504.85,1,Cooling Customers
198,Arjun Shah,13,7,34387.16,0,Recent Customers
199,Arjun Gupta,430,2,10973.13,3,Inactive Low-Value Customers
200,Pooja Sharma,220,5,41852.44,1,Cooling Customers
201,Karan Singh,39,4,24793.32,0,Recent Customers
202,Meera Kumar,720,2,19706.5,3,Inactive Low-Value Customers
203,Ananya Gupta,279,4,11610.29,1,Cooling Customers
204,Sneha Shah,66,7,80202.17,2,High-Value Loyal Customers
205,Sneha Mehta,84,2,4401.58,3,Inactive Low-Value Customers
206,Aditya Singh,201,3,10009.0,3,Inactive Low-Value Customers
207,Meera Gupta,471,2,24375.16,1,Cooling Customers
208,Pooja Kumar,52,5,40097.59,2,High-Value Loyal Customers
209,Meera Gupta,216,3,33357.91,1,Cooling Customers
210,Sneha Patel,7,3,24801.99,0,Recent Customers
211,Pooja Mehta,22,3,14251.13,0,Recent Customers
212,Aditya Mehta,8,6,63015.04,0,Recent Customers
213,Rahul Sharma,75,6,71241.26,2,High-Value Loyal Customers
214,Sneha Sharma,9,5,55943.0,0,Recent Customers
215,Arjun Verma,65,3,49775.95,1,Cooling Customers
216,Arjun Shah,368,3,24300.93,1,Cooling Customers
217,Sneha Joshi,53,7,60921.52,2,High-Value Loyal Customers
218,Karan Sharma,45,9,102816.36,2,High-Value Loyal Customers
219,Rohan Mehta,350,3,28324.4,1,Cooling Customers
220,Priya Verma,70,3,11093.88,1,Cooling Customers
221,Pooja Kumar,334,3,28127.36,1,Cooling Customers
222,Vikram Gupta,32,5,52540.69,0,Recent Customers
223,Karan Gupta,244,2,5667.28,3,Inactive Low-Value Customers
224,Meera Joshi,15,4,21094.73,0,Recent Customers
225,Nikhil Shah,173,5,59342.86,2,High-Value Loyal Customers
226,Vikram Joshi,13,7,59083.55,0,Recent Customers
227,Priya Kumar,76,10,90883.65,2,High-Value Loyal Customers
228,Nikhil Shah,80,2,17958.45,1,Cooling Customers
229,Meera Mehta,224,9,88072.0,2,High-Value Loyal Customers
230,Amit Shah,93,6,29507.86,2,High-Value Loyal Customers
231,Arjun Gupta,131,2,27782.76,1,Cooling Customers
232,Amit Mehta,39,9,75412.98,2,High-Value Loyal Customers
233,Priya Mehta,139,3,38156.08,1,Cooling Customers
234,Ananya Joshi,191,5,38589.72,1,Cooling Customers
235,Pooja Gupta,191,3,40151.59,1,Cooling Customers
236,Ananya Sharma,143,5,32605.59,1,Cooling Customers
238,Pooja Sharma,101,3,42045.3,1,Cooling Customers
239,Aditya Sharma,43,5,17381.75,0,Recent Customers
240,Arjun Kumar,469,6,37288.43,1,Cooling Customers
241,Priya Kumar,199,3,29630.19,1,Cooling Customers
242,Vikram Shah,288,5,22782.94,1,Cooling Customers
243,Rahul Gupta,252,5,51349.81,2,High-Value Loyal Customers
244,Karan Verma,41,4,51834.97,0,Recent Customers
245,Karan Joshi,30,4,25813.4,0,Recent Customers
246,Vikram Verma,341,2,4215.63,3,Inactive Low-Value Customers
247,Pooja Patel,191,4,57237.2,1,Cooling Customers
248,Aditya Iyer,416,4,26430.77,1,Cooling Customers
249,Arjun Kumar,32,3,37448.97,0,Recent Customers
250,Amit Shah,82,4,23136.3,1,Cooling Customers
251,Amit Patel,60,4,20452.37,1,Cooling Customers
252,Rohan Iyer,81,9,90410.1,2,High-Value Loyal Customers
253,Amit Kumar,50,8,44575.97,2,High-Value Loyal Customers
254,Rahul Shah,494,2,6389.26,3,Inactive Low-Value Customers
255,Vikram Joshi,5,3,12797.51,0,Recent Customers
256,Neha Mehta,86,1,10738.55,3,Inactive Low-Value Customers
257,Nikhil Verma,114,4,41870.53,1,Cooling Customers
258,Rahul Joshi,31,6,54520.71,2,High-Value Loyal Customers
259,Priya Shah,62,5,44293.19,2,High-Value Loyal Customers
260,Isha Mehta,49,4,16973.67,1,Cooling Customers
261,Rohan Shah,132,5,46422.27,2,High-Value Loyal Customers
262,Pooja Verma,130,2,13987.15,3,Inactive Low-Value Customers
263,Meera Joshi,8,4,62670.79,0,Recent Customers
264,Priya Mehta,253,3,28135.86,1,Cooling Customers
265,Nikhil Kumar,13,3,16141.67,0,Recent Customers
266,Pooja Gupta,160,8,57031.27,2,High-Value Loyal Customers
267,Rahul Verma,56,2,20760.35,1,Cooling Customers
268,Priya Verma,185,11,103600.22,2,High-Value Loyal Customers
269,Isha Shah,171,5,42092.62,1,Cooling Customers
270,Aditya Iyer,1,5,47448.33,0,Recent Customers
271,Neha Gupta,249,4,56725.36,1,Cooling Customers
272,Nikhil Sharma,294,4,32238.06,1,Cooling Customers
273,Aditya Gupta,123,4,52218.28,1,Cooling Customers
274,Amit Iyer,692,1,15874.67,3,Inactive Low-Value Customers
275,Rahul Gupta,40,3,19721.09,1,Cooling Customers
276,Isha Patel,403,3,40285.67,1,Cooling Customers
277,Karan Kumar,24,4,30061.54,0,Recent Customers
278,Neha Gupta,117,7,79397.91,2,High-Value Loyal Customers
279,Sneha Mehta,56,4,77938.24,2,High-Value Loyal Customers
280,Meera Sharma,257,6,68440.91,2,High-Value Loyal Customers
281,Rohan Verma,108,5,77334.49,2,High-Value Loyal Customers
282,Nikhil Singh,41,5,52167.55,2,High-Value Loyal Customers
283,Rohan Patel,75,5,43662.78,2,High-Value Loyal Customers
284,Sneha Joshi,164,2,12578.53,3,Inactive Low-Value Customers
285,Rahul Gupta,48,6,76295.01,2,High-Value Loyal Customers
286,Neha Sharma,17,2,16663.78,0,Recent Customers
287,Karan Mehta,72,4,22637.24,1,Cooling Customers
288,Amit Sharma,12,5,48371.92,0,Recent Customers
289,Sneha Iyer,16,6,25244.67,0,Recent Customers
290,Rohan Iyer,41,2,16486.11,1,Cooling Customers
291,Priya Iyer,75,2,16696.12,3,Inactive Low-Value Customers
292,Amit Patel,228,2,7026.69,3,Inactive Low-Value Customers
293,Pooja Mehta,219,3,24998.08,1,Cooling Customers
294,Arjun Verma,20,5,58775.46,0,Recent Customers
295,Vikram Gupta,25,8,84096.91,2,High-Value Loyal Customers
296,Amit Kumar,9,7,76856.84,0,Recent Customers
297,Nikhil Singh,69,5,24090.04,1,Cooling Customers
298,Rohan Singh,304,4,64998.46,1,Cooling Customers
299,Ananya Kumar,204,5,53939.56,2,High-Value Loyal Customers
300,Aditya Kumar,128,3,21458.5,1,Cooling Customers
301,Karan Gupta,54,3,38701.59,1,Cooling Customers
302,Nikhil Joshi,300,3,40733.74,1,Cooling Customers
303,Ananya Singh,9,5,28097.36,0,Recent Customers
304,Isha Verma,366,3,11632.6,3,Inactive Low-Value Customers
306,Meera Iyer,330,3,14120.58,1,Cooling Customers
307,Rahul Gupta,94,8,92308.99,2,High-Value Loyal Customers
308,Nikhil Mehta,529,3,6352.18,3,Inactive Low-Value Customers
309,Neha Mehta,14,7,52106.13,0,Recent Customers
310,Neha Sharma,26,4,10480.33,0,Recent Customers
311,Neha Verma,23,4,29961.36,0,Recent Customers
312,Rahul Joshi,278,5,70682.45,2,High-Value Loyal Customers
313,Priya Joshi,33,4,35518.13,0,Recent Customers
314,Isha Verma,56,4,17859.57,1,Cooling Customers
315,Vikram Patel,44,2,38910.29,1,Cooling Customers
316,Nikhil Verma,178,3,51373.83,1,Cooling Customers
317,Pooja Mehta,20,4,21010.63,0,Recent Customers
318,Pooja Shah,24,8,87471.08,2,High-Value Loyal Customers
319,Priya Kumar,661,1,13703.3,3,Inactive Low-Value Customers
320,Aditya Sharma,72,5,48231.23,2,High-Value Loyal Customers
321,Pooja Patel,235,2,20276.22,1,Cooling Customers
322,Ananya Gupta,28,7,99808.87,2,High-Value Loyal Customers
323,Pooja Shah,52,5,52293.31,2,High-Value Loyal Customers
324,Arjun Iyer,221,2,4325.21,3,Inactive Low-Value Customers
325,Rahul Patel,27,6,58310.31,2,High-Value Loyal Customers
326,Nikhil Sharma,119,3,40565.39,1,Cooling Customers
327,Meera Kumar,26,3,41290.46,0,Recent Customers
328,Aditya Kumar,363,2,17656.41,3,Inactive Low-Value Customers
329,Rahul Patel,157,5,47983.66,2,High-Value Loyal Customers
330,Meera Verma,32,4,26750.76,0,Recent Customers
331,Aditya Gupta,46,5,86759.96,2,High-Value Loyal Customers
332,Pooja Joshi,17,10,103190.64,2,High-Value Loyal Customers
333,Rahul Iyer,136,2,10813.71,3,Inactive Low-Value Customers
334,Pooja Iyer,254,4,23499.87,1,Cooling Customers
335,Neha Kumar,132,4,49263.77,1,Cooling Customers
336,Pooja Shah,10,4,20353.53,0,Recent Customers
337,Ananya Kumar,33,5,19578.21,0,Recent Customers
338,Karan Gupta,12,5,53626.92,0,Recent Customers
339,Nikhil Gupta,86,3,39035.64,1,Cooling Customers
340,Vikram Mehta,9,7,68178.45,0,Recent Customers
341,Karan Sharma,240,4,42199.25,1,Cooling Customers
342,Arjun Kumar,3,2,20003.9,0,Recent Customers
343,Ananya Patel,247,1,2895.2,3,Inactive Low-Value Customers
344,Isha Gupta,69,5,57717.13,2,High-Value Loyal Customers
345,Arjun Shah,3,4,26708.72,0,Recent Customers
346,Pooja Verma,97,5,69049.85,2,High-Value Loyal Customers
347,Isha Joshi,330,6,78178.74,2,High-Value Loyal Customers
348,Priya Kumar,154,8,107274.1,2,High-Value Loyal Customers
349,Neha Mehta,17,4,29675.81,0,Recent Customers
350,Isha Iyer,216,4,65021.67,1,Cooling Customers
351,Neha Patel,28,3,33916.49,0,Recent Customers
352,Isha Singh,49,4,56915.61,2,High-Value Loyal Customers
353,Pooja Shah,277,3,34906.96,1,Cooling Customers
354,Karan Verma,136,4,26807.05,1,Cooling Customers
355,Nikhil Verma,68,3,8650.88,3,Inactive Low-Value Customers
356,Sneha Mehta,38,2,28736.45,1,Cooling Customers
357,Meera Iyer,237,4,30590.23,1,Cooling Customers
358,Pooja Mehta,38,5,20001.84,0,Recent Customers
359,Amit Kumar,138,7,50056.98,2,High-Value Loyal Customers
360,Aditya Joshi,58,8,67330.15,2,High-Value Loyal Customers
361,Priya Patel,58,3,24962.51,1,Cooling Customers
362,Priya Verma,589,3,29698.69,1,Cooling Customers
363,Sneha Verma,58,5,89505.41,2,High-Value Loyal Customers
364,Nikhil Mehta,460,2,8928.77,3,Inactive Low-Value Customers
365,Nikhil Shah,173,4,50186.89,1,Cooling Customers
366,Neha Gupta,40,5,64645.44,2,High-Value Loyal Customers
367,Pooja Joshi,20,3,37548.49,0,Recent Customers
368,Vikram Singh,113,5,31454.35,1,Cooling Customers
369,Rahul Mehta,432,3,22374.14,1,Cooling Customers
370,Priya Iyer,151,2,38039.31,1,Cooling Customers
371,Karan Kumar,27,4,34499.36,0,Recent Customers
372,Vikram Verma,111,3,14520.11,1,Cooling Customers
373,Aditya Patel,88,3,46524.96,1,Cooling Customers
374,Karan Gupta,267,5,23635.98,1,Cooling Customers
375,Rahul Shah,366,4,57625.88,1,Cooling Customers
376,Ananya Iyer,54,5,57862.94,2,High-Value Loyal Customers
377,Pooja Kumar,113,2,35371.13,1,Cooling Customers
378,Karan Singh,58,6,19738.32,2,High-Value Loyal Customers
379,Pooja Singh,276,3,11380.66,3,Inactive Low-Value Customers
380,Nikhil Gupta,110,4,30460.74,1,Cooling Customers
381,Priya Kumar,50,3,40291.13,1,Cooling Customers
382,Arjun Mehta,325,2,21181.77,1,Cooling Customers
383,Rahul Joshi,66,5,71295.32,2,High-Value Loyal Customers
384,Aditya Mehta,187,6,59529.27,2,High-Value Loyal Customers
385,Ananya Sharma,40,5,20053.17,0,Recent Customers
386,Pooja Patel,234,2,12818.52,3,Inactive Low-Value Customers
387,Ananya Patel,150,5,58332.83,2,High-Value Loyal Customers
388,Priya Singh,431,1,7259.67,3,Inactive Low-Value Customers
389,Isha Mehta,19,5,73574.1,0,Recent Customers
390,Arjun Kumar,46,7,52275.74,2,High-Value Loyal Customers
391,Arjun Mehta,44,5,30422.21,0,Recent Customers
393,Pooja Verma,126,2,13377.17,3,Inactive Low-Value Customers
394,Sneha Verma,147,2,32804.47,1,Cooling Customers
395,Amit Mehta,479,1,6483.96,3,Inactive Low-Value Customers
396,Isha Patel,158,9,71765.2,2,High-Value Loyal Customers
397,Amit Singh,39,6,56311.18,2,High-Value Loyal Customers
398,Aditya Iyer,69,4,38622.9,1,Cooling Customers
399,Priya Gupta,144,2,11801.29,3,Inactive Low-Value Customers
400,Rohan Verma,70,7,68262.99,2,High-Value Loyal Customers
401,Isha Mehta,178,2,3713.74,3,Inactive Low-Value Customers
402,Pooja Joshi,141,6,74786.51,2,High-Value Loyal Customers
403,Pooja Iyer,284,6,28000.24,1,Cooling Customers
404,Isha Mehta,486,3,61380.43,1,Cooling Customers
405,Neha Iyer,44,5,43942.74,2,High-Value Loyal Customers
406,Amit Gupta,61,2,13535.81,3,Inactive Low-Value Customers
407,Isha Kumar,16,3,27329.1,0,Recent Customers
408,Isha Verma,130,12,120006.48,2,High-Value Loyal Customers
409,Vikram Kumar,327,4,51205.14,1,Cooling Customers
410,Isha Verma,245,3,26962.2,1,Cooling Customers
411,Priya Joshi,45,3,25144.82,1,Cooling Customers
412,Meera Sharma,40,5,38283.31,0,Recent Customers
413,Arjun Iyer,31,3,15133.84,0,Recent Customers
414,Sneha Shah,623,1,17055.85,3,Inactive Low-Value Customers
415,Rohan Joshi,27,5,31429.66,0,Recent Customers
416,Vikram Joshi,7,7,59235.58,0,Recent Customers
417,Sneha Verma,13,5,44500.74,0,Recent Customers
418,Ananya Gupta,74,5,67547.02,2,High-Value Loyal Customers
419,Vikram Shah,125,5,69535.67,2,High-Value Loyal Customers
420,Nikhil Iyer,60,3,17668.92,1,Cooling Customers
421,Isha Verma,102,3,14908.87,1,Cooling Customers
422,Aditya Singh,16,4,49077.98,0,Recent Customers
423,Aditya Sharma,289,6,63623.79,2,High-Value Loyal Customers
424,Pooja Mehta,173,6,48596.77,2,High-Value Loyal Customers
425,Rohan Patel,100,4,59800.23,2,High-Value Loyal Customers
426,Rohan Verma,19,2,9505.23,3,Inactive Low-Value Customers
427,Isha Kumar,58,7,59858.23,2,High-Value Loyal Customers
428,Aditya Singh,39,10,71841.03,2,High-Value Loyal Customers
429,Isha Gupta,432,4,23152.17,1,Cooling Customers
430,Rahul Sharma,88,5,36030.49,2,High-Value Loyal Customers
431,Ananya Kumar,161,3,15454.16,1,Cooling Customers
432,Rohan Iyer,339,3,73177.16,1,Cooling Customers
433,Rohan Iyer,62,3,20669.28,1,Cooling Customers
434,Nikhil Kumar,185,2,17523.27,3,Inactive Low-Value Customers
435,Meera Singh,72,5,48447.67,2,High-Value Loyal Customers
436,Vikram Sharma,129,7,31110.6,2,High-Value Loyal Customers
437,Isha Joshi,270,2,19258.45,3,Inactive Low-Value Customers
438,Aditya Sharma,171,2,8659.92,3,Inactive Low-Value Customers
439,Vikram Gupta,53,3,40933.35,1,Cooling Customers
440,Nikhil Patel,123,6,35661.92,2,High-Value Loyal Customers
441,Isha Kumar,305,5,30128.48,1,Cooling Customers
442,Pooja Joshi,582,1,2393.42,3,Inactive Low-Value Customers
443,Nikhil Mehta,114,5,33399.43,1,Cooling Customers
444,Pooja Joshi,412,2,16039.73,3,Inactive Low-Value Customers
445,Pooja Patel,163,5,46047.07,2,High-Value Loyal Customers
446,Isha Gupta,47,7,37289.42,2,High-Value Loyal Customers
447,Nikhil Gupta,363,7,74541.43,2,High-Value Loyal Customers
448,Isha Verma,137,7,62168.84,2,High-Value Loyal Customers
449,Aditya Kumar,2,6,46790.99,0,Recent Customers
450,Priya Singh,334,2,34768.92,1,Cooling Customers
451,Amit Singh,354,1,3964.35,3,Inactive Low-Value Customers
452,Neha Mehta,89,9,86576.97,2,High-Value Loyal Customers
453,Pooja Shah,333,3,27613.53,1,Cooling Customers
454,Priya Kumar,50,8,72866.4,2,High-Value Loyal Customers
